,bikeid,count
1369,16268,1315
1370,16269,2
1371,16270,1167
1372,16271,816
1373,16272,1217
1374,16273,1471
1375,16275,1487
1376,16276,1226
1377,16277,1449
1378,16278,1201
1379,16279,955
1380,16280,1172
1381,16284,1180
1382,16285,837
1383,16286,1122
1384,16287,1142
1385,16288,1020
1386,16289,298
1387,16290,1546
1388,16291,1180
1389,16292,1204
1390,16293,1372
1391,16294,949
1392,16296,922
1393,16298,1120
1394,16299,914
1395,16300,808
1396,16301,995
1397,16302,1029
1398,16305,1065
1399,16307,1262
1400,16309,1420
1401,16310,1228
1402,16311,1129
1403,16312,1333
1404,16313,978
1405,16314,1267
1406,16315,1151
1407,16316,1257
1408,16318,1283
1409,16319,1162
1410,16320,1061
1411,16322,1375
1412,16323,1217
1413,16324,970
1414,16325,1001
1415,16326,1309
1416,16328,860
1417,16329,1372
1418,16330,1149
1419,16331,1070
1420,16333,1050
1421,16334,1120
1422,16336,976
1423,16337,943
1424,16338,1302
1425,16339,1260
1426,16340,1132
1427,16341,1231
1428,16343,917
1429,16344,1324
1430,16345,1387
1431,16346,868
1432,16347,1145
1433,16348,1061
1434,16349,906
1435,16350,701
1436,16351,1398
1437,16353,982
1438,16355,1042
1439,16356,987
1440,16357,796
1441,16360,1055
1442,16361,649
1443,16362,1017
1444,16363,126
1445,16364,1128
1446,16365,1295
1447,16367,942
1448,16369,1297
1449,16370,1131
1450,16371,1409
1451,16373,1062
1452,16374,1202
1453,16376,1067
1454,16378,1406
1455,16379,1354
1456,16380,1067
1457,16381,1135
1458,16382,1368
1459,16383,1210
1460,16384,1019
1461,16385,1037
1462,16386,1487
1463,16387,701
1464,16388,1113
1465,16389,1096
1466,16390,288
1467,16391,834
1468,16392,1149
1469,16393,1168
1470,16394,1155
1471,16395,1274
1472,16396,1311
1473,16397,1211
1474,16399,1400
1475,16400,1273
1476,16402,1221
1477,16403,1392
1478,16404,1075
1479,16405,1306
1480,16406,1034
1481,16407,1107
1482,16410,1423
1483,16411,1347
1484,16412,1190
1485,16413,1528
1486,16414,1246
1487,16415,998
1488,16416,919
1489,16417,1310
1490,16419,1023
1491,16420,1182
1492,16421,971
1493,16422,1084
1494,16423,995
1495,16424,1387
1496,16425,1227
1497,16426,1416
1498,16427,1219
1499,16429,934
1500,16432,1416
1501,16433,1007
1502,16434,1122
1503,16435,1125
1504,16436,1316
1505,16437,1462
1506,16440,971
1507,16441,713
1508,16442,1430
1509,16443,1045
1510,16444,1434
1511,16445,470
1512,16446,1108
1513,16449,1107
1514,16451,687
1515,16452,1102
1516,16453,890
1517,16454,1027
1518,16455,878
1519,16456,1131
1520,16457,1290
1521,16458,883
1522,16459,1065
1523,16460,1112
1524,16461,1160
1525,16462,1345
1526,16463,825
1527,16464,1196
1528,16466,1246
1529,16467,1341
1530,16468,1089
1531,16469,1063
1532,16470,747
1533,16471,1227
1534,16473,1300
1535,16474,1110
1536,16475,1132
1537,16476,1009
1538,16477,930
1539,16478,1343
1540,16479,716
1541,16480,1395
1542,16481,1063
1543,16482,961
1544,16483,872
1545,16484,1173
1546,16485,1426
1547,16486,1173
1548,16487,1273
1549,16488,1080
1550,16489,1200
1551,16490,1151
1552,16491,782
1553,16493,545
1554,16495,1122
1555,16496,1014
1556,16497,1063
1557,16498,1349
1558,16500,1360
1559,16502,1434
1560,16503,1081
1561,16505,962
1562,16506,533
1563,16507,1362
1564,16508,1239
1565,16509,1292
1566,16510,1172
1567,16511,1274
1568,16512,1521
1569,16513,1094
1570,16514,942
1571,16515,1285
1572,16517,1081
1573,16518,1128
1574,16519,1136
1575,16520,1063
1576,16521,1475
1577,16522,1474
1578,16523,264
1579,16524,1155
1580,16526,953
1581,16527,1136
1582,16528,1205
1583,16529,1414
1584,16530,1120
1585,16531,1060
1586,16533,1041
1587,16534,741
1588,16535,1201
1589,16536,1335
1590,16537,1358
1591,16538,1054
1592,16539,1158
1593,16540,943
1594,16542,1279
1595,16543,1278
1596,16544,1348
1597,16545,1212
1598,16546,1468
1599,16548,1155
1600,16549,1108
1601,16550,612
1602,16551,1254
1603,16553,963
1604,16554,1502
1605,16556,1358
